plot;elev;manbin;polldiv;divwb;divbf;divhv;divor;wbdip;wbab;bfdip;bfab;hvdip;hvab;ordip;orab;clpolldiv;clpolldip;clpollab;betadivj;betadipj;pldiv;pp;plbm;deadwood;flow_cov;herb_cov;herb_height;shrub_cov;shrub_height;tree_cov;tree_height;flrich;temps;tempy;tempsampl;tempwb;tempbf;temphv;tempor;temppoll;samplwb;samplbf;samplhv;samplor;samplpoll
H1;818;1;323;15;12;32;5;11;107;14;26;13;21;20;408.25;59;38;154;0.175972908;0.21129959;108;60.1;40.55;2.166666667;1.552083333;100;13.33333333;6.333333333;183.3333333;6.333333333;933.3333333;23;14.08879107;8.307387214;20.90808472;15.61867667;15.61867667;15.61867667;16.64678667;15.61867667;19.61723372;19.90126149;19.72105316;20.51531489;19.74651612
H2;985;1;295;10;12;34;7;23;89;16;41;14;32;18;570.25;56;53;162;0.213443721;0.211972078;97;116.7;66.5;0.333333333;2.927083333;80;15;0.166666667;16.66666667;0;0;28;13.66247609;7.881072024;20.19417299;15.19235667;15.19235667;15.19235667;16.65553333;15.19235667;19.14775988;19.01095432;19.14775988;20.44778261;19.10215802
H3;1106;1;306;7;6;47;5;15;84;15;35;23;37;22;477.25;60;53;156;0.217904743;0.255271144;118;103.5;59.55;0.166666667;2.708333333;95;13.33333333;0;0;0;0;39;13.2834442;7.502039971;21.05881298;17.22047333;17.22047333;17.22047333;17.45330667;17.22047333;19.75138677;19.32395622;19.75138677;21.15668769;19.60890992
H4;1326;1;267;3;10;34;6;12;69;24;53;20;31;14;487.25;47;56;153;0.242238506;0.236116548;142;96.4;73.8;6.333333333;5;80;21.66666667;15;93.33333333;0.666666667;1133.333333;36;12.57056167;6.789157716;19.54264063;15.56878;15.56878;15.56878;15.31829667;15.56878;18.7147512;18.64882527;18.7147512;18.45043716;18.69277589
H5;1580;0;272;4;10;32;2;15;72;18;54;20;39;12;152.5;46;53;165;0.250033535;0.231662743;117;78.575;78.575;0.166666667;6.927083333;80;8.333333333;0.333333333;33.33333333;0;0;29;11.59651167;5.815107727;18.27011592;14.59473;14.59473;14.59473;14.34424667;14.59473;17.46342934;17.4389849;17.46342934;17.37485029;17.4552812
H6;1807;0;224;5;7;18;1;9;22;12;93;21;33;11;123.75;30;42;148;0.256956608;0.215226522;98;146.675;146.675;0.166666667;1.197916667;88.33333333;18.33333333;26.66666667;200;0.333333333;166.6666667;31;10.38230556;4.600901208;17.04497858;15.33781333;15.33781333;15.96336667;15.58686167;15.54633111;17.23254759;17.50662167;17.96726982;18.13602994;17.56881303
H7;1986;0;157;2;2;13;0;6;15;9;31;13;47;4;15;17;28;93;0.202912294;0.179607933;86;78.6;78.6;0;1.645833333;76.66666667;11.66666667;0;0;0;0;24;9.351422716;3.570018759;15.90517721;14.30693;14.30693;14.93248;14.555981;14.51544667;16.25225994;16.2752229;17.74046371;17.11287576;16.75598218
HO1;828;1;216;3;6;24;2;19;77;12;29;8;18;11;372.5;33;39;124;0.195475556;0.186066816;127;132;55.5;3;1.34375;76.66666667;20;0;0;0;0;26;14.0656359;8.284231698;20.18971209;15.23004;15.23004;15.23004;17.24689333;15.23004;18.85726078;18.85726078;18.85726078;20.84943739;18.85726078
HO2;1046;1;234;1;5;29;1;7;36;11;50;13;36;16;341.25;35;31;122;0.21976751;0.212326472;93;81.8;87.6;0.166666667;4.375;100;18.33333333;0.833333333;200;1.333333333;2333.333333;27;13.47148213;7.690078034;19.37053714;14.12369667;14.12369667;14.30510333;16.65274333;14.18416556;17.08361362;17.45435436;18.39750822;20.02068654;17.64515873
HO3;1332;1;258;2;6;18;1;14;63;15;36;19;33;14;87;26;48;132;0.217515094;0.225193281;82;59.675;59.675;0;4.739583333;98.33333333;20;30;83.33333333;0;0;16;12.55236371;6.770959771;18.50377613;17.71469;18.19487667;17.71469;14.18282;17.87475222;21.3948588;22.82971629;21.3948588;16.76821518;21.87314463
HO4;1546;0;241;5;13;23;1;14;72;14;103;12;23;10;116.25;41;40;198;0.260730458;0.241771605;114;89.75;89.75;0.666666667;3.208333333;75;21;18.66666667;150;0.5;333.3333333;25;11.72679225;5.945388245;17.10690125;16.81319333;16.81319333;16.81319333;13.32697;16.81319333;19.99722655;20.2590784;19.99722655;15.99401067;20.0845105
HO5;1821;1;137;2;2;5;0;8;22;10;38;15;32;3;3;9;33;92;0.157338043;0.231530098;102;46.225;46.225;0;2.239583333;63.33333333;10;0;0;0;0;30;10.29204977;4.510645822;13.54074804;16.43758333;15.82127333;16.43758333;11.89222767;16.23214667;18.76067124;17.58699153;18.76067124;14.06945785;18.36944467
T1;716;1;259;16;9;22;8;15;107;12;74;8;16;17;564.25;47;35;197;0.1533503;0.200633764;69;115.475;115.475;0;8.854166667;100;83.33333333;2.666666667;50;0;0;20;14.3833298;8.60192585;20.36977799;19.81783;19.81783;19.81783;11.06032;19.81783;24.46885799;24.42267743;24.46885799;13.48114551;24.45346447
T4;644;1;217;8;8;6;4;21;146;10;45;15;24;25;572.75;22;46;215;0.093231362;0.164526286;89;62.025;62.025;0;2.052083333;98.33333333;35;0.25;133.3333333;0.333333333;166.6666667;20;14.56935308;8.78794908;19.49195423;21.39414333;21.39414333;21.39414333;13.35873;21.39414333;24.97753333;24.8016074;25.24910656;16.65697704;25.00941576
T5;749;1;209;5;7;12;7;14;98;7;36;10;40;18;642.25;24;31;174;0.137154177;0.206632782;60;62.525;62.525;0;4.760416667;100;30;0.5;266.6666667;0;0;20;14.25709307;8.475689064;18.9576265;17.86194;17.86194;17.86194;13.04647;17.86194;20.76775298;20.51701224;20.76775298;15.94785573;20.68417274
W1;815;0;206;3;9;10;1;10;26;14;31;12;22;17;262.5;22;36;79;0.160362068;0.267013403;67;61.075;61.075;0;1.479166667;78.33333333;15;15;100;0.666666667;333.3333333;17;14.09906503;8.317660784;18.52227659;17.32657333;18.36387333;17.32657333;12.4271;17.67234;22.03744353;22.97817494;22.03744353;15.00697053;22.35102067
W2;1016;0;228;1;15;15;3;15;42;22;69;10;20;16;519.25;31;47;131;0.192861167;0.236965469;90;121.05;121.05;3.666666667;1.708333333;83.33333333;33.33333333;18.33333333;200;0;0;26;13.6154827;7.834078684;17.71356568;16.84299333;17.88029333;16.84299333;15.10003233;17.18876;20.84706295;21.65344251;20.84706295;18.52035914;21.11585614
W3;1162;0;218;2;10;25;1;18;91;22;103;18;35;7;65.75;37;58;229;0.244555719;0.233876094;98;108.775;108.775;0.333333333;5.395833333;70;26.66666667;10;400;7;866.6666667;25;13.12373081;7.342326903;19.6989801;20.33822333;18.45962333;20.33822333;15.85928;19.71202333;24.19914513;21.9758298;24.19914513;19.49421785;23.45804002
W4;1235;0;162;0;9;8;1;8;26;13;46;11;20;15;268.25;17;32;92;0.177792088;0.232531569;47;43.15;43.15;0.25;0.5;56.66666667;11.66666667;46.66666667;75;1.333333333;366.6666667;12;12.88749246;7.106088347;19.3028485;16.42332;17.34988;16.42332;15.62303867;16.73217333;19.11339549;20.35191401;19.11339549;19.25399153;19.526235
W5;1446;0;175;4;11;9;2;10;15;9;56;12;19;9;133.5;24;31;90;0.18955125;0.212879183;67;59.825;59.825;2.333333333;0.864583333;43.33333333;10;30;166.6666667;5.333333333;600;14;12.10506907;6.323665131;15.70787008;14.95156;17.30373667;14.95156;17.99579333;15.73561889;17.83841617;19.23952728;17.83841617;21.23977716;18.3054532
W6;1805;0;229;4;10;20;4;12;54;17;87;23;49;6;142.5;34;52;190;0.226008263;0.233015133;111;77.675;77.675;0;1.239583333;95.66666667;20;0;0;1.333333333;333.3333333;26;10.44928105;4.66787727;17.3625888;18.20358333;17.7506;17.44749;13.411045;17.80055778;21.65553604;20.68792562;20.63625279;16.54905302;20.99323815
W7;2017;0;186;1;8;18;2;15;45;18;64;10;25;9;123.75;27;43;134;0.217672102;0.228399088;107;52.85;52.85;0.083333333;1.552083333;73.33333333;20;0;0;0;0;26;9.116163047;3.334759152;15.90360204;16.87046667;16.41748333;16.11437;15.35040333;16.46744;20.05098367;20.09313515;18.87306615;18.01223256;19.67239499
WmA2;1240;1;205;1;7;20;6;12;84;13;28;13;53;13;277;28;38;165;0.213762668;0.254724953;108;111.15;54.75;4.666666667;2.427083333;91.66666667;16.66666667;0;0;2.333333333;833.3333333;30;12.88415013;7.102746196;18.61975339;16.71335667;15.92697467;16.71335667;17.73270333;16.45122933;19.26305981;18.34610604;19.26305981;20.69136207;18.95740855
WmA3;1423;1;275;4;6;19;4;16;35;11;21;21;44;7;164.25;29;48;100;0.253384713;0.272363175;124;74.2;29.65;3.666666667;2.520833333;86.66666667;15;0;0;5;1200;30;12.16974584;6.388341643;17.65528298;15.57059;16.81276667;15.57059;17.65709333;15.98464889;18.75565857;19.5789919;18.75565857;20.35154083;19.03010301
WmA4;1770;0;193;3;4;17;1;8;21;6;50;20;40;9;69.5;24;34;111;0.248695063;0.179640974;122;91.875;91.875;0;1.760416667;95;25;25;383.3333333;0;0;22;10.53213043;4.750726546;16.1105141;17.75697667;16.84140333;17.75697667;13.40904333;17.45178556;20.02577571;20.38493161;20.02577571;16.23908481;20.14549434
WmA5;2034;0;141;0;3;13;0;8;17;10;43;14;28;3;16;16;32;88;0.20823637;0.212469185;66;37.25;37.25;0;1.291666667;56.66666667;6.666666667;0;0;0;0;27;9.000004186;3.218599951;14.65002565;14.2596;15.63757;15.10538667;11.87691667;15.00085222;16.71213891;19.53490606;17.07464766;14.50598282;17.77389755
WmB1;962;1;273;4;4;37;6;11;57;12;25;16;30;16;589.5;45;39;112;0.231981592;0.263002958;111;158.35;104.75;6.666666667;4.65625;96.66666667;20;1.666666667;150;0;0;31;13.70083172;7.919427752;18.21111681;13.84545;13.84545;13.84545;14.725756;13.84545;16.7288913;17.60037278;16.7288913;17.05213075;17.01938513
WmB2;1139;1;283;10;7;37;5;13;80;14;47;20;45;15;297.75;54;47;172;0.249335439;0.249812025;134;92.8;60;0.333333333;6.541666667;95;25;0;0;0;0;37;13.19519554;7.413791347;19.89448295;15.14836667;15.14836667;15.14836667;17.12756;15.14836667;17.80292127;18.49366201;17.80292127;20.01168972;18.03316818
WmB3;1418;1;253;2;7;22;7;16;61;9;16;9;25;13;312.75;31;34;102;0.232756428;0.271133776;141;148.4;38.65;12.66666667;4.197916667;80;16.66666667;1.333333333;50;0;0;38;12.22948733;6.448083464;19.06226699;17.98830667;17.98830667;17.98830667;12.70137467;17.98830667;21.24217162;21.25154662;21.24217162;13.14748559;21.24529662
WmB4;1654;1;185;2;2;14;4;14;57;11;33;10;27;7;180.25;18;35;117;0.213085164;0.266958306;102;130.7;73.7;0;1.041666667;81.66666667;16.66666667;1.333333333;200;0.833333333;600;30;11.16411466;5.382710388;17.06957435;15.99534667;15.99534667;15.99534667;11.636;15.99534667;18.69092369;18.69092369;18.69092369;12.50389207;18.69092369
WmB5;1812;1;286;5;13;35;0;13;42;13;88;16;27;6;16.25;53;42;157;0.27087476;0.289848125;108;98.875;98.875;0;2.208333333;93.33333333;30;0.666666667;50;1;700;34;10.42702481;4.645620547;17.23999056;17.63420333;17.38531;17.63420333;13.36915333;17.55123889;18.95974185;19.81073587;18.95974185;14.62780516;19.24340653
